Q1501#9/T,18:27,Q,T,20221130,1,,0000,18:27,621.8842,18:27,,,1400,18:27,,,,,,,,,,,,,,,,LX,870637,18:27,,0252,0264,,,,,,,,2022/11/29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1502#9/T,18:27,Q,T,20221230,1,,0000,18:27,621.8842,18:27,,,1400,18:27,,,,,,,,,,,,,,,,LX,870637,18:27,,0252,0264,,,,,,,,2022/10/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1501#9/C,18:27,A,C,20221030,1,,0000,18:27,621.8842,18:27,,,1400,18:27,,,,,,,,,,,,,,,,LX,870637,18:27,,0252,0264,,,,,,,,2022/12/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1501#9/D,18:30,A,D,20230130,1,,0000,18:27,621.8842,18:27,,,1400,18:27,,,,,,,,,,,,,,,,LX,870637,18:27,,0252,0264,,,,,,,,2023/1/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1501#9/D,18:59,A,D,20230330,1,,0000,18:27,621.8842,18:27,,,1400,18:27,,,,,,,,,,,,,,,,LX,870637,18:27,,0252,0264,,,,,,,,2023/1/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1501#9/D,18:30,A,D,20220130,1,,0000,18:27,621.8842,18:27,,,1400,18:27,,,,,,,,,,,,,,,,LX,870637,18:27,,0252,0264,,,,,,,,2023/1/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1501#9/D,18:30,A,D,20230129,1,,0000,18:27,621.8842,18:27,,,1400,18:27,,,,,,,,,,,,,,,,LX,870637,18:27,,0252,0264,,,,,,,,2023/1/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1503#9/D,18:59,A,D,20230130,1,,0000,18:30,621.8842,18:27,,,1400,18:27,,,,,,,,,,,,,,,,LX,870637,18:27,,0252,0264,,,,,,,,2023/1/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1503#9/D,18:30,A,D,20230130,1,,0000,18:30,621.8842,18:27,,,1400,18:27,,,,,,,,,,,,,,,,LX,870637,18:27,,0252,0264,,,,,,,,2023/1/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1502#9/D,18:30,A,D,20230130,1,,0000,18:30,621.8842,18:27,,,1400,18:27,,,,,,,,,,,,,,,,LX,870637,18:27,,0252,0264,,,,,,,,2023/1/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
